Date,Time,Visitor,G,Home,G,,Att.,LOG,Notes
2019-10-02,10:00 PM,Vancouver Canucks,2,Edmonton Oilers,3,,18347,2:23,
2019-10-02,8:00 PM,Washington Capitals,3,St. Louis Blues,2,OT,18096,2:32,
2019-10-02,7:00 PM,Ottawa Senators,3,Toronto Maple Leafs,5,,19612,2:36,
2019-10-02,10:30 PM,San Jose Sharks,1,Vegas Golden Knights,4,,18588,2:44,
2019-10-03,10:00 PM,Arizona Coyotes,1,Anaheim Ducks,2,,17174,2:25,
2019-10-03,7:00 PM,Montreal Canadiens,3,Carolina Hurricanes,4,SO,18680,2:41,
2019-10-03,9:00 PM,Calgary Flames,3,Colorado Avalanche,5,,18016,2:40,
2019-10-03,8:30 PM,Boston Bruins,2,Dallas Stars,1,,18532,2:33,
2019-10-03,8:00 PM,Minnesota Wild,2,Nashville Predators,5,,17455,2:29,
2019-10-03,7:00 PM,Winnipeg Jets,4,New York Rangers,6,,18006,2:30,
2019-10-03,7:00 PM,Buffalo Sabres,3,Pittsburgh Penguins,1,,18616,2:29,
2019-10-03,7:00 PM,Florida Panthers,2,Tampa Bay Lightning,5,,19092,2:27,
2019-10-04,7:00 PM,Toronto Maple Leafs,4,Columbus Blue Jackets,1,,18776,2:26,
2019-10-04,7:00 PM,Winnipeg Jets,5,New Jersey Devils,4,SO,16514,2:36,
2019-10-04,7:00 PM,Washington Capitals,2,New York Islanders,1,,13917,2:27,
2019-10-04,2:00 PM,Chicago Blackhawks,3,Philadelphia Flyers,4,,17463,2:31,NHL Global Series
2019-10-04,10:30 PM,Vegas Golden Knights,5,San Jose Sharks,1,,17562,2:28,
2019-10-05,10:00 PM,San Jose Sharks,1,Anaheim Ducks,3,,15795,2:27,
2019-10-05,9:00 PM,Boston Bruins,1,Arizona Coyotes,0,,17125,2:17,
2019-10-05,7:00 PM,New Jersey Devils,2,Buffalo Sabres,7,,19070,2:24,
2019-10-05,10:00 PM,Vancouver Canucks,0,Calgary Flames,3,,19005,2:28,
2019-10-05,9:00 PM,Minnesota Wild,2,Colorado Avalanche,4,,17090,2:32,
2019-10-05,10:00 PM,Los Angeles Kings,5,Edmonton Oilers,6,,18347,2:30,
2019-10-05,7:00 PM,Tampa Bay Lightning,3,Florida Panthers,4,,17424,2:29,
2019-10-05,8:00 PM,Detroit Red Wings,5,Nashville Predators,3,,17539,2:36,
2019-10-05,7:00 PM,New York Rangers,4,Ottawa Senators,1,,15135,2:25,
2019-10-05,7:00 PM,Columbus Blue Jackets,2,Pittsburgh Penguins,7,,18595,2:23,
2019-10-05,8:00 PM,Dallas Stars,2,St. Louis Blues,3,,18096,2:28,
2019-10-05,7:00 PM,Montreal Canadiens,6,Toronto Maple Leafs,5,SO,19547,4:03,
2019-10-05,7:00 PM,Carolina Hurricanes,3,Washington Capitals,2,OT,18573,2:53,
2019-10-06,5:00 PM,Tampa Bay Lightning,3,Carolina Hurricanes,4,OT,14125,2:39,
2019-10-06,7:00 PM,Dallas Stars,3,Detroit Red Wings,4,,19515,2:28,
2019-10-06,7:00 PM,Winnipeg Jets,1,New York Islanders,4,,9923,2:23,
2019-10-07,7:00 PM,Buffalo Sabres,3,Columbus Blue Jackets,4,OT,14618,2:38,
2019-10-07,7:00 PM,St. Louis Blues,3,Toronto Maple Leafs,2,,19466,2:25,
2019-10-08,9:00 PM,Los Angeles Kings,4,Calgary Flames,3,OT,18150,2:33,
2019-10-08,7:30 PM,Anaheim Ducks,3,Detroit Red Wings,1,,18209,2:19,
2019-10-08,7:00 PM,Carolina Hurricanes,6,Florida Panthers,3,,11638,2:29,
2019-10-08,8:00 PM,San Jose Sharks,2,Nashville Predators,5,,17251,2:32,
2019-10-08,7:00 PM,Edmonton Oilers,5,New York Islanders,2,,10985,2:32,
2019-10-08,7:00 PM,Winnipeg Jets,4,Pittsburgh Penguins,1,,18420,2:25,
2019-10-08,10:00 PM,Boston Bruins,4,Vegas Golden Knights,3,,18223,2:31,
2019-10-08,7:00 PM,Dallas Stars,4,Washington Capitals,3,OT,18573,2:35,
2019-10-09,7:00 PM,Montreal Canadiens,4,Buffalo Sabres,5,OT,15383,2:32,
2019-10-09,7:30 PM,New Jersey Devils,0,Philadelphia Flyers,4,,19658,2:36,
2019-10-09,10:00 PM,Los Angeles Kings,2,Vancouver Canucks,8,,18955,2:29,
2019-10-10,10:00 PM,Vegas Golden Knights,1,Arizona Coyotes,4,,13864,2:23,
2019-10-10,8:30 PM,San Jose Sharks,5,Chicago Blackhawks,4,,21455,2:22,
2019-10-10,9:00 PM,Boston Bruins,2,Colorado Avalanche,4,,18045,2:35,
2019-10-10,8:30 PM,Calgary Flames,3,Dallas Stars,2,SO,17989,2:42,
2019-10-10,7:00 PM,Detroit Red Wings,4,Montreal Canadiens,2,,21302,2:31,
2019-10-10,7:00 PM,Edmonton Oilers,4,New Jersey Devils,3,SO,14586,2:38,
2019-10-10,8:00 PM,Washington Capitals,5,Nashville Predators,6,,17386,2:37,
2019-10-10,7:30 PM,St. Louis Blues,6,Ottawa Senators,4,,9204,2:33,
